Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",133.500000,-80.000000,-90.000000,top
"D7","SMA6F15AY","D_SMA",142.500000,-83.500000,0.000000,top
"J1","Conn_01","ThruHole1mm_1.6Pad",146.000000,-78.000000,0.000000,top
"J2","Conn_01","ThruHole1mm_1.6Pad",128.000000,-78.000000,0.000000,top
"J3","Conn_01","ThruHole1mm_1.6Pad",146.000000,-89.000000,0.000000,top
"J4","Conn_01","ThruHole1mm_1.6Pad",128.000000,-89.000000,0.000000,top
"Q1","BC847C","SOT-23",130.500000,-83.500000,180.000000,top
"Q2","BC847C","SOT-23",136.500000,-83.500000,0.000000,top
"R1","36","R_0805_2012Metric",140.500000,-87.000000,90.000000,top
"R2","10k","R_0805_2012Metric",133.500000,-87.000000,-90.000000,top
"R3","15","R_0805_2012Metric",133.500000,-83.500000,90.000000,top
"R4","36","R_0805_2012Metric",140.500000,-80.000000,-90.000000,top
