"C1","100n","C","erp:C_0805_2012Metric","220250"
"D1","C503D-WAN","LED","erp:LED_D5.0mm","402000"
"D2","C503D-WAN","LED","erp:LED_D5.0mm","402000"
"D3","C503D-WAN","LED","erp:LED_D5.0mm","402000"
"D4","C503D-WAN","LED","erp:LED_D5.0mm","402000"
"D5","C503D-WAN","LED","erp:LED_D5.0mm","402000"
"D6","C503D-WAN","LED","erp:LED_D5.0mm","402000"
"D7","SMA6F15AY","D_Zener","erp:D_SMA","260001"
"J1","Conn_01x01","Conn_01x01","erp:ThruHole1mm_1.6Pad","503002"
"J2","Conn_01x01","Conn_01x01","erp:ThruHole1mm_1.6Pad","503002"
"J3","Conn_01x01","Conn_01x01","erp:ThruHole1mm_1.6Pad","503002"
"J4","Conn_01x01","Conn_01x01","erp:ThruHole1mm_1.6Pad","503002"
"Q1","BC847C","Q_NPN_BEC","erp:SOT-23","300000"
"Q2","BC847C","Q_NPN_BEC","erp:SOT-23","300000"
"R1","36","R","erp:R_0805_2012Metric","200750"
"R2","10k","R","erp:R_0805_2012Metric","200750"
"R3","15","R","erp:R_0805_2012Metric","200750"
"R4","36","R","erp:R_0805_2012Metric","200750"
